lake.name	date	Year	sum_mg_ww_L
Jockeybush	1999-07-06	1999	0.08980002
Jockeybush	1999-08-16	1999	0.00722372
Jockeybush	2000-07-11	2000	0.00450494
Jockeybush	2000-08-14	2000	0.00168172
Jockeybush	2001-07-09	2001	0.00236749
Jockeybush	2001-09-05	2001	0.00136934
Jockeybush	2002-09-12	2002	0.00930082
Jockeybush	2002-09-20	2002	0.00361328
Jockeybush	2003-07-08	2003	0.00169626
Jockeybush	2003-08-05	2003	0.00165602
Jockeybush	2004-07-12	2004	0.00215634
Jockeybush	2004-08-02	2004	0.00254583
Jockeybush	2005-08-08	2005	0.00771122
Jockeybush	2006-07-11	2006	0.00177378
Jockeybush	2006-08-08	2006	0.00247183
Jockeybush	2007-07-12	2007	0.00417408
Jockeybush	2007-08-02	2007	0.0024022
Jockeybush	2008-08-07	2008	0.00345773
Jockeybush	2010-07-20	2010	0.00151683
Jockeybush	2011-07-12	2011	0.00323623
Jockeybush	2011-08-08	2011	0.00740696
Jockeybush	2012-07-09	2012	0.00439126
Limekiln	1994-06-29	1994	0.03328841
Limekiln	1994-07-25	1994	0.07336327
Limekiln	1994-08-30	1994	0.0076807
Limekiln	1995-06-20	1995	0.00648601
Limekiln	1995-08-07	1995	0.00423726
Limekiln	1995-09-12	1995	0.00953591
Limekiln	1996-06-25	1996	0.02426066
Limekiln	1996-07-23	1996	0.01399023
Limekiln	1996-08-20	1996	0.03891198
Limekiln	1997-07-15	1997	0.00630264
Limekiln	1997-08-19	1997	0.00860433
Limekiln	1998-07-14	1998	0.01338908
Limekiln	1998-08-10	1998	0.00554644
Limekiln	1999-06-30	1999	0.01408998
Limekiln	1999-08-24	1999	0.02114078
Limekiln	2000-07-13	2000	0.00800556
Limekiln	2000-08-23	2000	0.00958062
Limekiln	2001-07-18	2001	0.03099528
Limekiln	2001-08-08	2001	0.0161559
Limekiln	2002-08-14	2002	0.02764445
Limekiln	2002-09-17	2002	0.01213357
Limekiln	2003-07-16	2003	0.01916709
Limekiln	2003-08-13	2003	0.01072799
Limekiln	2004-07-07	2004	0.09533728
Limekiln	2004-08-10	2004	0.02593613
Limekiln	2005-07-20	2005	0.02272758
Limekiln	2005-08-17	2005	0.00953131
Limekiln	2006-07-12	2006	0.04707256
Limekiln	2006-08-16	2006	0.02905021
Limekiln	2007-07-12	2007	0.0264516
Limekiln	2007-07-31	2007	0.01038032
Limekiln	2008-07-01	2008	0.02033227
Limekiln	2008-08-04	2008	0.00335703
Limekiln	2010-07-08	2010	0.0032171
Limekiln	2010-08-12	2010	0.01370817
Limekiln	2011-07-12	2011	0.01014759
Limekiln	2011-08-09	2011	0.01167916
Limekiln	2012-07-09	2012	0.0164381
Long	1994-06-29	1994	0.03342772
Long	1994-08-02	1994	0.20905684
Long	1994-08-29	1994	0.0390782
Long	1995-06-14	1995	0.02625162
Long	1995-08-16	1995	0.13907281
Long	1995-09-06	1995	0.02237433
Long	1996-06-19	1996	0.13366524
Long	1996-07-17	1996	0.12928357
Long	1996-08-14	1996	0.2195703
Long	1997-07-08	1997	0.06417161
Long	1997-08-14	1997	0.13851974
Long	1998-07-08	1998	0.00897523
Long	1998-08-12	1998	0.11753129
Long	1999-07-07	1999	0.07600228
Long	1999-08-17	1999	0.18079224
Long	2000-07-12	2000	0.0959574
Long	2000-08-15	2000	0.15358999
Long	2001-07-10	2001	0.07670668
Long	2001-09-07	2001	0.03196843
Long	2002-08-28	2002	0.14984356
Long	2002-09-20	2002	0.01156244
Long	2003-07-10	2003	0.07095218
Long	2003-08-07	2003	0.08708693
Long	2004-07-21	2004	0.02104049
Long	2004-08-04	2004	0.22274468
Long	2005-07-13	2005	0.08622368
Long	2005-08-11	2005	0.19822509
Long	2006-07-24	2006	0.14314568
Long	2006-08-11	2006	0.09945232
Loon Hollow	1994-06-20	1994	0.13135033
Loon Hollow	1994-07-27	1994	0.04334471
Loon Hollow	1994-08-24	1994	0.00951256
Loon Hollow	1995-06-14	1995	0.02065208
Loon Hollow	1995-08-16	1995	0.01043662
Loon Hollow	1995-09-07	1995	0.00442978
Loon Hollow	1996-06-19	1996	0.26159753
Loon Hollow	1996-07-16	1996	0.06173893
Loon Hollow	1996-08-14	1996	0.01629926
Loon Hollow	1997-07-08	1997	0.21639735
Loon Hollow	1997-08-14	1997	0.03121998
Loon Hollow	1998-07-08	1998	0.07025306
Loon Hollow	1998-08-12	1998	0.04493113
Loon Hollow	1999-07-07	1999	0.04394468
Loon Hollow	1999-08-17	1999	0.04738254
Loon Hollow	2000-07-12	2000	0.01835744
Loon Hollow	2000-08-15	2000	0.04539523
Loon Hollow	2001-07-10	2001	0.05113453
Loon Hollow	2001-09-06	2001	0.01408147
Loon Hollow	2002-09-13	2002	0.00580142
Loon Hollow	2002-09-18	2002	0.01005713
Loon Hollow	2003-07-09	2003	0.19772116
Loon Hollow	2003-08-06	2003	0.09147128
Loon Hollow	2004-07-21	2004	0.0602348
Loon Hollow	2004-08-03	2004	0.03065138
Loon Hollow	2005-07-12	2005	0.04642629
Loon Hollow	2005-08-09	2005	0.05025289
Loon Hollow	2006-07-13	2006	0.09376602
Loon Hollow	2006-08-10	2006	0.03850292
Middle Branch	1994-06-20	1994	0.03695258
Middle Branch	1994-07-25	1994	0.02106203
Middle Branch	1994-08-23	1994	0.073999
Middle Branch	1995-06-14	1995	0.00562267
Middle Branch	1995-08-15	1995	0.05125769
Middle Branch	1995-09-07	1995	0.00700916
Middle Branch	1996-06-18	1996	0.09448028
Middle Branch	1996-07-16	1996	0.09303335
Middle Branch	1996-08-14	1996	0.09755241
Middle Branch	1997-07-08	1997	0.03748528
Middle Branch	1997-08-12	1997	0.01694115
Middle Branch	1998-07-09	1998	0.00744123
Middle Branch	1998-08-12	1998	0.02476281
Middle Branch	1999-07-08	1999	0.02783923
Middle Branch	1999-08-18	1999	0.32240934
Middle Branch	2000-07-20	2000	0.16820803
Middle Branch	2000-08-16	2000	0.04492201
Middle Branch	2001-07-11	2001	0.00470748
Middle Branch	2001-09-07	2001	0.01564868
Middle Branch	2002-09-13	2002	0.0415731
Middle Branch	2002-09-18	2002	0.04243988
Middle Branch	2003-07-09	2003	0.01896718
Middle Branch	2003-08-06	2003	0.02228197
Middle Branch	2004-07-13	2004	0.005187
Middle Branch	2004-08-03	2004	0.00573448
Middle Branch	2005-07-12	2005	0.03834333
Middle Branch	2005-08-09	2005	0.08588668
Middle Branch	2006-07-13	2006	0.02391008
Middle Branch	2006-08-09	2006	0.03334961
Middle Settlement	1994-06-20	1994	1.14493668
Middle Settlement	1994-07-25	1994	0.54023988
Middle Settlement	1994-08-23	1994	0.12580954
Middle Settlement	1995-08-15	1995	0.03226324
Middle Settlement	1995-09-07	1995	0.00893103
Middle Settlement	1996-06-18	1996	0.09016377
Middle Settlement	1996-07-16	1996	0.18464451
Middle Settlement	1996-08-14	1996	0.01077627
Middle Settlement	1997-07-08	1997	0.05926811
Middle Settlement	1997-08-12	1997	0.00240275
Middle Settlement	1998-07-09	1998	0.01970697
Middle Settlement	1998-08-12	1998	0.00503889
Middle Settlement	1999-07-08	1999	0.00475176
Middle Settlement	1999-08-18	1999	0.01454704
Middle Settlement	2000-07-20	2000	0.00548503
Middle Settlement	2000-08-16	2000	0.00612581
Middle Settlement	2001-07-11	2001	0.10405893
Middle Settlement	2001-09-07	2001	0.05988254
Middle Settlement	2002-09-13	2002	0.00835743
Middle Settlement	2002-09-18	2002	0.00410698
Middle Settlement	2003-08-06	2003	0.10482668
Middle Settlement	2004-07-13	2004	0.02216952
Middle Settlement	2004-08-03	2004	0.01306459
Middle Settlement	2005-07-12	2005	0.14562642
Middle Settlement	2005-08-09	2005	0.00481426
Middle Settlement	2006-07-13	2006	0.02811791
Middle Settlement	2006-08-09	2006	0.01494315
Middle Settlement	2007-07-12	2007	0.68661391
Middle Settlement	2007-08-01	2007	0.13934843
Middle Settlement	2008-07-01	2008	0.01132999
Moss	1994-06-28	1994	0.0034885
Moss	1994-08-02	1994	0.01081682
Moss	1994-08-24	1994	0.02954446
Moss	1995-06-19	1995	0.04196841
Moss	1995-08-09	1995	0.02643198
Moss	1995-09-13	1995	0.01674971
Moss	1996-06-25	1996	0.02714766
Moss	1996-07-15	1996	0.02367712
Moss	1996-08-20	1996	0.02849473
Moss	1997-07-15	1997	0.01216694
Moss	1997-08-19	1997	0.00731216
Moss	1998-07-13	1998	0.01944773
Moss	1998-08-18	1998	0.01153223
Moss	1999-06-30	1999	0.10754243
Moss	1999-08-23	1999	0.02653525
Moss	2000-07-13	2000	0.03447385
Moss	2000-08-23	2000	0.01370259
Moss	2001-07-18	2001	0.0229241
Moss	2001-08-07	2001	0.02439959
Moss	2002-08-14	2002	0.03170945
Moss	2002-09-17	2002	0.00982373
Moss	2003-07-15	2003	0.01084754
Moss	2003-09-05	2003	0.04429261
Moss	2004-07-06	2004	0.02786365
