lake.name	date	Year	sum_mg_ww_L
Queer	1994-07-25	1994	0.794150385
Queer	1994-08-23	1994	0.737272326
Queer	1995-06-13	1995	0.712459315
Queer	1995-08-15	1995	0.394876374
Queer	1995-09-06	1995	0.877756786
Queer	1996-06-18	1996	0.680512652
Queer	1996-07-18	1996	0.368440304
Queer	1996-08-15	1996	0.284793455
Queer	1997-07-08	1997	0.341382382
Queer	1997-08-12	1997	0.391637521
Queer	1998-07-08	1998	0.280193236
Queer	1998-08-11	1998	0.554649075
Queer	1999-07-07	1999	0.396027539
Queer	1999-08-17	1999	0.51939353
Queer	2000-07-12	2000	0.422393346
Queer	2000-08-15	2000	0.310265556
Queer	2001-07-10	2001	0.419512968
Queer	2001-09-06	2001	0.299651336
Queer	2002-09-12	2002	0.288445082
Queer	2002-09-19	2002	0.355186074
Queer	2003-07-09	2003	0.60843876
Queer	2003-08-06	2003	0.2542226
Queer	2004-07-13	2004	2.255387712
Queer	2004-08-03	2004	0.510191207
Queer	2005-07-12	2005	0.336431726
Queer	2005-08-09	2005	0.095252845
Queer	2006-07-13	2006	0.550627006
Queer	2006-08-09	2006	0.258345875
Raquette	1994-06-29	1994	0.329975699
Raquette	1994-08-02	1994	0.15693718
Raquette	1994-08-30	1994	0.143117878
Raquette	1995-06-19	1995	0.207314375
Raquette	1995-08-07	1995	0.954761612
Raquette	1995-09-12	1995	0.15427749
Raquette	1996-06-25	1996	0.088247268
Raquette	1996-07-15	1996	0.111691607
Raquette	1996-08-19	1996	2.0490735
Raquette	1998-07-13	1998	0.017329041
Raquette	1998-08-10	1998	0.432689063
Raquette	1999-06-29	1999	0.3004343
Raquette	1999-08-23	1999	0.689084327
Raquette	2000-07-18	2000	0.118868566
Raquette	2000-08-21	2000	0.280152735
Raquette	2001-07-17	2001	0.235017705
Raquette	2001-08-07	2001	1.933462556
Raquette	2002-08-13	2002	0.79982104
Raquette	2002-09-10	2002	0.314919744
Raquette	2003-07-07	2003	0.2284142
Raquette	2003-09-03	2003	0.6423421
Raquette	2004-07-07	2004	0.969719648
Raquette	2004-08-10	2004	0.164069924
Raquette	2005-07-19	2005	0.510413275
Raquette	2005-08-16	2005	0.560041695
Raquette	2006-07-12	2006	0.032023283
Raquette	2006-08-15	2006	0.368352775
Rondaxe	1994-06-29	1994	0.281378338
Rondaxe	1994-07-26	1994	0.300209293
Rondaxe	1994-08-30	1994	0.163730757
Rondaxe	1995-08-08	1995	0.704230012
Rondaxe	1995-09-13	1995	0.095956291
Rondaxe	1996-06-25	1996	0.91462893
Rondaxe	1996-07-15	1996	0.394147388
Rondaxe	1996-08-20	1996	0.159535158
Rondaxe	1997-07-15	1997	0.476230886
Rondaxe	1997-08-19	1997	0.253649881
Rondaxe	1998-07-14	1998	0.133962366
Rondaxe	1998-08-10	1998	0.233724067
Rondaxe	1999-06-30	1999	0.303605907
Rondaxe	1999-08-24	1999	0.236882929
Rondaxe	2000-07-13	2000	0.301822492
Rondaxe	2000-08-22	2000	0.338855748
Rondaxe	2001-07-18	2001	0.140240661
Rondaxe	2001-08-08	2001	0.118634059
Rondaxe	2002-08-14	2002	0.224024436
Rondaxe	2002-09-12	2002	0.107691384
